Algorithm,Time,Error,MemoryKB,MemoryMB
bfgs,614,1.79769e+308,180224,176
lbfgsb,175,1.79769e+308,114688,112
dfp,484,1.79769e+308,32768,32
dfp,484,1.79769e+308,98304,96
lbfgsb,176,1.79769e+308,114688,112
bfgs,613,1.79769e+308,49152,48
lbfgsb,176,1.79769e+308,131072,128
dfp,485,1.79769e+308,98304,96
bfgs,615,1.79769e+308,65536,64
bfgs,613,1.79769e+308,131072,128
dfp,484,1.79769e+308,114688,112
lbfgsb,177,1.79769e+308,229376,224
lbfgs,334,1.79769e+308,311296,304
lbfgs,335,1.79769e+308,196608,192
lbfgs,337,1.79769e+308,212992,208