Algorithm,Time,Error,MemoryKB,MemoryMB,MemoryGB
bfgs,224,1.79769e+308,16384,16,0.015
lbfgsb,104,1.79769e+308,131072,128,0.125
dfp,156,1.79769e+308,32768,32,0.03
dfp,157,1.79769e+308,114688,112,0.109
lbfgsb,104,1.79769e+308,98304,96,0.09
bfgs,225,1.79769e+308,16384,16,0.015
bfgs,225,1.79769e+308,98304,96,0.09
lbfgsb,104,1.79769e+308,65536,64,0.06
dfp,157,1.79769e+308,32768,32,0.03
bfgs,614,1.79769e+308,180224,176,0.171
lbfgsb,175,1.79769e+308,114688,112,0.109
dfp,484,1.79769e+308,32768,32,0.02
dfp,484,1.79769e+308,98304,96,0.09
lbfgsb,176,1.79769e+308,114688,112,0.109
bfgs,613,1.79769e+308,49152,48,0.046
lbfgsb,176,1.79769e+308,131072,128,0.125
dfp,485,1.79769e+308,98304,96,0.09
bfgs,615,1.79769e+308,65536,64,0.06
bfgs,613,1.79769e+308,131072,128,0.125
dfp,484,1.79769e+308,114688,112,0.109
lbfgsb,177,1.79769e+308,229376,224,0.218
bfgs,4567,1.79769e+308,802816,784,0.765
lbfgsb,394,1.79769e+308,196608,192,0.1875
dfp,4278,1.79769e+308,933888,912,0.89
lbfgsb,391,1.79769e+308,98304,96,0.09
bfgs,4603,1.79769e+308,671744,656,0.64
dfp,4294,1.79769e+308,851968,832,0.8125
lbfgsb,394,1.79769e+308,180224,176,0.171
bfgs,4633,1.79769e+308,966656,944,0.921
dfp,4275,1.79769e+308,933888,912,0.89
lbfgsb,757,1.79769e+308,344064,336,0.328
dfp,29759,1.79769e+308,2097152,2048,2.0
bfgs,30541,1.79769e+308,2211840,2160,2.109
lbfgsb,733,1.79769e+308,212992,208,0.203
dfp,29849,1.79769e+308,1802240,1760,1.718
bfgs,30522,1.79769e+308,1884160,1840,1.796
lbfgsb,732,1.79769e+308,294912,288,0.28125
bfgs,30451,1.79769e+308,1867776,1824,1.781
dfp,29793,1.79769e+308,1327104,1296,1.265
lbfgs,790,1.79769e+308,393216,384,0
lbfgs,785,1.79769e+308,180224,176,0
lbfgs,776,1.79769e+308,360448,352,0
lbfgs,785,1.79769e+308,376832,368,0
lbfgs,1541,1.79769e+308,464,0
lbfgs,1511,1.79769e+308,400,0
lbfgs,1530,1.79769e+308,480,0
lbfgs,196,1.79769e+308,131072,128,0
lbfgs,195,1.79769e+308,278528,272,0
lbfgs,195,1.79769e+308,262144,256,0
lbfgs,334,1.79769e+308,311296,304,0
lbfgs,335,1.79769e+308,196608,192,0
lbfgs,337,1.79769e+308,212992,208,0